forecast_timestamp,forecast_value,standard_error,confidence_level,prediction_interval_lower_bound,prediction_interval_upper_bound
2022-10-16 00:00:00.000000 UTC,251.00789563876691,7.6334751504756948,0.8,241.21959240614396,260.79619887138989
2022-10-17 00:00:00.000000 UTC,265.06890480477716,9.2835878042530382,0.8,253.16468415514993,276.9731254544044
2022-10-18 00:00:00.000000 UTC,263.84324125795524,10.736745190323655,0.8,250.07565630056595,277.6108262153445
2022-10-19 00:00:00.000000 UTC,263.51811603500477,12.227102532211154,0.8,247.83946576335273,279.1967663066568
2022-10-20 00:00:00.000000 UTC,257.05229412624351,13.627158458514447,0.8,239.578370839465,274.52621741302204
2022-10-21 00:00:00.000000 UTC,252.01895730397391,14.648739870884626,0.8,233.2350738163729,270.80284079157491
2022-10-22 00:00:00.000000 UTC,253.3518830338833,15.661409568187356,0.8,233.2694667186658,273.4342993491008
2022-10-23 00:00:00.000000 UTC,252.1721610324521,16.79637407744762,0.8,230.63439488561664,273.70992717928755
2022-10-24 00:00:00.000000 UTC,266.24039627086523,17.729404508270406,0.8,243.50621766415702,288.97457487757345
2022-10-25 00:00:00.000000 UTC,264.18135333912977,18.51792406609486,0.8,240.43606663490471,287.92664004335484
2022-10-26 00:00:00.000000 UTC,262.92570454139081,19.426345166461559,0.8,238.01556159305417,287.83584748972748
2022-10-27 00:00:00.000000 UTC,257.16365183828464,20.317083120218861,0.8,231.1113275085572,283.21597616801205
2022-10-28 00:00:00.000000 UTC,253.39391699354576,21.025719113845458,0.8,226.43291819374608,280.35491579334547
2022-10-29 00:00:00.000000 UTC,254.75857367961277,21.753304066268505,0.8,226.86460241295879,282.65254494626674
2022-10-30 00:00:00.000000 UTC,253.03741024405002,22.570317280910739,0.8,224.09579384430356,281.97902664379649
2022-10-31 00:00:00.000000 UTC,266.78270704400705,23.26950563396068,0.8,236.94453075751693,296.62088333049718
2022-11-01 00:00:00.000000 UTC,263.89090055165207,23.888375993677187,0.8,233.25915506854116,294.522646034763
2022-11-02 00:00:00.000000 UTC,262.3870003795808,24.596514292104956,0.8,230.84721861430387,293.92678214485773
2022-11-03 00:00:00.000000 UTC,257.67603964591103,25.294578264019425,0.8,225.24113977280319,290.11093951901887
2022-11-04 00:00:00.000000 UTC,254.89434849360862,25.874098104690788,0.8,221.71633806888536,288.07235891833187
2022-11-05 00:00:00.000000 UTC,255.76382619910549,26.475404987592135,0.8,221.81476798950342,289.71288440870757
2022-11-06 00:00:00.000000 UTC,253.12835435231409,27.140632389203855,0.8,218.32628393041452,287.93042477421369
2022-11-07 00:00:00.000000 UTC,266.59615000026588,27.722833490281211,0.8,231.04753088234324,302.14476911818855
2022-11-08 00:00:00.000000 UTC,263.87502131575377,28.253490875017249,0.8,227.64594732085371,300.1040953106538
2022-11-09 00:00:00.000000 UTC,262.678561774489,28.852200871558505,0.8,225.68176994740566,299.6753536015724
2022-11-10 00:00:00.000000 UTC,258.96846792641867,29.441526187416144,0.8,221.21599211785062,296.72094373498675
2022-11-11 00:00:00.000000 UTC,256.59385168947745,29.946335886153889,0.8,218.19406514646545,294.99363823248945
2022-11-12 00:00:00.000000 UTC,256.48988665394342,30.471994910637992,0.8,217.41605456454687,295.56371874333996
2022-11-13 00:00:00.000000 UTC,252.9318622597018,31.044086716262893,0.8,213.12444448882093,292.73928003058268
2022-11-14 00:00:00.000000 UTC,266.52914842618,31.55327411189613,0.8,226.06880645859465,306.98949039376527
2022-11-15 00:00:00.000000 UTC,264.28887614597932,32.027478130934639,0.8,223.22046869825837,305.35728359370029
2022-11-16 00:00:00.000000 UTC,263.59798579714743,32.554598290748977,0.8,221.85365920872295,305.34231238557192
2022-11-17 00:00:00.000000 UTC,260.4574300179786,33.072142523712749,0.8,218.04946337195477,302.86539666400239
2022-11-18 00:00:00.000000 UTC,257.85554860439061,33.526749057118217,0.8,214.86464607231403,300.84645113646718
2022-11-19 00:00:00.000000 UTC,256.60626360307413,34.000359543298721,0.8,213.00805667011849,300.20447053602976
2022-11-20 00:00:00.000000 UTC,252.50871641280358,34.508070362779769,0.8,208.25947867702229,296.75795414858487
2022-11-21 00:00:00.000000 UTC,266.77213560096357,34.966335248755094,0.8,221.93527092249019,311.60900027943694
2022-11-22 00:00:00.000000 UTC,265.29438673441564,35.400226363741155,0.8,219.90114927425321,310.68762419457806
2022-11-23 00:00:00.000000 UTC,264.88561784892983,35.875795847181223,0.8,218.88256399186682,310.88867170599281
2022-11-24 00:00:00.000000 UTC,261.70644031621947,36.341687862895839,0.8,215.10597934986779,308.30690128257118
2022-11-25 00:00:00.000000 UTC,258.47338217339671,36.759524719417769,0.8,211.33713458656356,305.60962976022984
2022-11-26 00:00:00.000000 UTC,256.31834159480189,37.194321367289987,0.8,208.62456007355411,304.01212311604968
2022-11-27 00:00:00.000000 UTC,252.2850137845532,37.654290773830212,0.8,204.00141963665857,300.56860793244783
2022-11-28 00:00:00.000000 UTC,267.589087351937,38.074546907103837,0.8,218.7666043772941,316.41157032657986
2022-11-29 00:00:00.000000 UTC,266.74851335225179,38.477616826679082,0.8,217.40917920314669,316.08784750135692
2022-11-30 00:00:00.000000 UTC,266.11537548793092,38.913782348351162,0.8,216.2167521158203,316.01399886004151
