forecast_timestamp,forecast_value,standard_error,confidence_level,prediction_interval_lower_bound,prediction_interval_upper_bound
2022-10-16 00:00:00.000000 UTC,246.28343061787467,7.7943778157450225,0.8,236.28880404659574,256.27805718915357
2022-10-17 00:00:00.000000 UTC,252.25928590547198,11.821882433173185,0.8,237.10024395468938,267.41832785625462
2022-10-18 00:00:00.000000 UTC,254.66041872285109,13.728653109309214,0.8,237.05635020092285,272.26448724477933
2022-10-19 00:00:00.000000 UTC,255.03516400567329,14.492856818774762,0.8,236.45116727381591,273.61916073753065
2022-10-20 00:00:00.000000 UTC,257.40438367360633,14.999811158099519,0.8,238.17032616332415,276.63844118388852
2022-10-21 00:00:00.000000 UTC,258.20882549167817,15.191707146082488,0.8,238.7287023189717,277.68894866438461
2022-10-22 00:00:00.000000 UTC,255.44418554114958,15.352200727878936,0.8,235.7582635920607,275.13010749023846
2022-10-23 00:00:00.000000 UTC,258.83668964432957,15.401292723745049,0.8,239.08781768461515,278.58556160404396
2022-10-24 00:00:00.000000 UTC,261.3936819757929,15.458853323293159,0.8,241.57100082805835,281.21636312352746
2022-10-25 00:00:00.000000 UTC,259.43745753264341,15.470741593101357,0.8,239.59953221531376,279.27538284997308
2022-10-26 00:00:00.000000 UTC,257.83689203856022,15.494560797489815,0.8,237.96842367357297,277.70536040354745
2022-10-27 00:00:00.000000 UTC,259.76458775975948,15.496903637179267,0.8,239.89311520272946,279.6360603167895
2022-10-28 00:00:00.000000 UTC,261.19718057618593,15.508521311078889,0.8,241.31081083108029,281.08355032129157
2022-10-29 00:00:00.000000 UTC,257.74954300689092,15.50853150340763,0.8,237.86316019229827,277.63592582148357
2022-10-30 00:00:00.000000 UTC,260.78864594882469,15.515231589148089,0.8,240.89367170377352,280.68362019387587
2022-10-31 00:00:00.000000 UTC,261.33030106110044,15.514721693832104,0.8,241.43598064800278,281.2246214741981
2022-11-01 00:00:00.000000 UTC,265.53085730327314,15.519204463715202,0.8,245.63078869422634,285.43092591231994
2022-11-02 00:00:00.000000 UTC,263.39465317071387,15.518596581743877,0.8,243.4953640406,283.29394230082772
2022-11-03 00:00:00.000000 UTC,267.55226967836927,15.521963521430077,0.8,247.6486631664647,287.45587619027384
2022-11-04 00:00:00.000000 UTC,269.39568758753103,15.521342088942998,0.8,249.49287793020477,289.29849724485729
2022-11-05 00:00:00.000000 UTC,265.93483708957677,15.52408395073523,0.8,246.0285115794947,285.84116259965884
2022-11-06 00:00:00.000000 UTC,267.5145898202407,15.523460984941236,0.8,247.60906313087591,287.42011650960546
2022-11-07 00:00:00.000000 UTC,267.19897559306816,15.525813507868202,0.8,247.29043229497447,287.10751889116182
2022-11-08 00:00:00.000000 UTC,263.4562812281917,15.525189908917724,0.8,243.54853756270342,283.36402489368
2022-11-09 00:00:00.000000 UTC,262.4813502804775,15.527274004770819,0.8,242.57093420671202,282.391766354243
2022-11-10 00:00:00.000000 UTC,268.33711880647996,15.52665106242938,0.8,248.42750152335887,288.24673608960109
2022-11-11 00:00:00.000000 UTC,270.73518912461088,15.528532862155448,0.8,250.8231588348344,290.64721941438734
2022-11-12 00:00:00.000000 UTC,265.81346492034527,15.527913072434103,0.8,245.90222937865053,285.72470046204
2022-11-13 00:00:00.000000 UTC,266.45100158423929,15.529631406971454,0.8,246.53756264511742,286.36444052336117
2022-11-14 00:00:00.000000 UTC,265.23516636461312,15.529017727938244,0.8,245.32251433791924,285.147818391307
2022-11-15 00:00:00.000000 UTC,262.19367768563632,15.530597313764577,0.8,242.27900017713429,282.10835519413831
2022-11-16 00:00:00.000000 UTC,262.09988589782887,15.529992601285011,0.8,242.18598380406286,282.01378799159488
2022-11-17 00:00:00.000000 UTC,269.7813596614165,15.531450575056059,0.8,249.86558802735658,289.69713129547642
2022-11-18 00:00:00.000000 UTC,271.30244157492058,15.530857324936584,0.8,251.3874306575654,291.21745249227575
2022-11-19 00:00:00.000000 UTC,265.06345027221278,15.532206559031563,0.8,245.14670924999803,284.98019129442753
2022-11-20 00:00:00.000000 UTC,264.59677786679794,15.531626834471675,0.8,244.6807802176435,284.51277551595234
2022-11-21 00:00:00.000000 UTC,263.87178583833389,15.532877654164057,0.8,243.95418427979388,283.78938739687391
2022-11-22 00:00:00.000000 UTC,261.54546354868484,15.532313098882401,0.8,241.62858591184229,281.46234118552741
2022-11-23 00:00:00.000000 UTC,262.56619487854306,15.533474192387512,0.8,242.64782838700648,282.48456137007963
2022-11-24 00:00:00.000000 UTC,270.75374035812195,15.532926075312025,0.8,250.83607670979063,290.67140400645326
2022-11-25 00:00:00.000000 UTC,271.25421325593908,15.534004991101353,0.8,251.33516612830113,291.17326038357703
2022-11-26 00:00:00.000000 UTC,263.39323550155279,15.533474257958664,0.8,243.47486892593523,283.31160207717039
2022-11-27 00:00:00.000000 UTC,263.06476649471239,15.534477688485758,0.8,243.14511323353176,282.984419755893
2022-11-28 00:00:00.000000 UTC,263.09273495720663,15.533965010609505,0.8,243.17373909601937,283.01173081839386
2022-11-29 00:00:00.000000 UTC,261.86810934379287,15.534898963887343,0.8,241.94791588679135,281.78830280079438
2022-11-30 00:00:00.000000 UTC,262.85314628956218,15.53440478127629,0.8,242.93358651632249,282.77270606280183
